,LANGUAGES OF MAGIC,,,,,,,COMMANDS,,,SYNTAX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language,Domain,Effect,Commands,Difficulty,TAGS,DAMAGE,Impetus,ROLEPLAY EFFECT,COMBAT EFFECT,CLAUSES,EFFECT,0 SP,1 SP,2 SP,3 SP ,4 SP,,CAST LANGUAGE,VIETAR,NEORA,UGAL,ZEMILA,STRELA,AARD,MARAK,BELOG,TELOS,PAMET
,Vietar,"Wind, Gas, and Pressure",Speak in the Language of Wind,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute",3,"Balanced, Blast 1, Seek, Accurate 1",2/4,Control,"Using the Control impetus, a sorcerer may change the shape of or forcibly move his target element",Move or reshape the target element a number of squares equal to the successes of your magic roll.,Origin,"Origin indicates where the spell can start—how far away from the caster the spell can be thrown and still have its intended effect. There are three Origins: Personal, Presence, Sight. ","Personal: 0
 Personal Origin starts from or on the Caster. ","Presence: 2
Presence targets anyone that can hear the caster speaking or see the caster gesticulating. ","Sight: 4
Sight describes anything the caster can see through mundane or magical means.",--,--,,Vietar,-,-,COUNTER,COUNTER,COUNTER,-,-,-,-,-
,Telos,"Flesh, Blood, and Bone",Speak in the Language of Flesh,"Control, Destroy, Enhance, Influence, Tax, Transmute, Sympathize",5,"Lethal 15+, Severe, Silent, Relentless",4/6,Create,The Create impetus involves fabrication of materials or substance,Populate a number of squares equal to the successes of your magic roll with the element you are casting.,Duration,"There are four durations for spells: spells that have an immediate, instantaneous effect; spells that have a continuing effect that rely on the caster to sustain them; spells that fade over time, and spells that have a permanent effect.",Instant,Sustained,"Elapsed time:
Rounds+",--,--,,Neora,-,-,COUNTER,-,COUNTER,COUNTER,-,-,-,-
,Pamet,"Mind, Perception, and Dreams",Speak in the Language of Thought,"Control, Destroy, Enhance, Influence, Tax, Transmute, Sympathize",5,"Lethal 15+, Severe, Silent, Relentless",4/6,Destroy,The Destroy facet allows the wizard to turn his magic into a weapon. Roll and add the sum of your MIND Attributes when determining outgoing damage for this spell to the default roll.,Deal damage to the target according to the successes rolled. ,Area of Effect,"Caster, Single Target (one character or object who is not the caster), Presence (everything within Presence), Natural Effect (Spell behaves according to physics), Measured Area (Predetermined area for the spell)",Caster,Single Target,Presence,Natural Effect,Measured Area,,Ugal,COUNTER,COUNTER,-,-,-,COUNTER,-,-,-,-
,Zemila,"Earth, Stone, and Metal",Speak in the Language of Stone,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute, Interfuse, Sympathize",3,"Stun, Saturate, Shock, Ceaseless",2/4,Enhance,"The Enhance Impetus grants a boon to its Element. It fortifies and strengthens even to an otherworldly degree. It adds dice to an ability or adds strength or quality to an extant material. It cannot add material or ability that would not previously exist in the Element. Also, in Anima abstractions, Enhance can extend senses into other viable realms — like the Sense spell — instead of adding dice. Affecting stats is the standard Enhance effect. Single skill enhancements might be considered for the Minor sigil.",Grant a target a bonus to a Stat/Attribute of your choosing. The potency of the bonus and its duration in rounds are divvied up by the player according to the number of successes rolled.,Stipulation,"Any other specific definitions, exclusions, or whatever else you can imagine.",Negligible Stipulation,Minor Stipulation,Major Stipulation,Greater Stipulation,GM Fiat,,Zemila,COUNTER,-,-,-,COUNTER,COUNTER,-,-,-,-
,Ugal,"Heat, Combustion, and Flame",Speak in the Language of Fire,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute, Inferfuse, Sympathize",3,"Torrent 1, Shock, Severe, Relentless",2/4,Influence,"Think of a magnet and a compass. Such is the effect of the Influence Impetus. It can also change colors, temperature, and direction of its target. This impetus triggers a test in the element or with the element where there wouldn’t be one before. Like Fear. Or using Influence Dou'sa to make a character’s arms tired","Forces a target to perform a test or have one of their skills, armaments, maneuvers, or spells disabled/penalized for an amount or duration equal to the successes rolled.",,,,,,,,,Strela,COUNTER,COUNTER,-,COUNTER,-,-,-,-,-,-
,Belog,"Light, Illusions, and Revelealing",Speak in the Language of Light,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute",4,"Silent, Torrent 1, Accurate 1, Balanced",3/5,Tax,"The Taxing impetus’ role is to drain or weaken the strength of its target. Like Destroy, this can be done to an element or with an element. The Tax element can be used to cause an element to add Trial penalties or be used to directly decrease dice from a stat or skill. Affecting skills is the standard effect. Going for stats is a Major effect. Certain stats and skills may not be directly affected (i.e. Spirit Stats, Seele, etc). Adding Trial is a Minor effect.",Grant stacks of an affliction or penalties to a stat/attribute for a duration of rounds to be determined by the number of successes rolled.,,,,,,,,,Aard,-,COUNTER,COUNTER,COUNTER,-,-,-,-,-,-
,Marak,"Shadow, Vacuums, and Concealment",Speak in the Language of Shadows,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute",4,"Silent, Torrent 1, Accurate 1, Balanced",3/5,Transmute,"Transmutation is a difficult and obscure art. This Impetus allows the sorcerer to change one element to another.  Add the obstacle of this Language to the obstacle of the Language being 
changed into. The caster must know all applicable elements to affect 
this transformation. ",Transform a number of instances of target element into the element of your choosing according to the number of successes rolled.,,,,,,,,,Marak,-,-,-,-,-,-,-,COUNTER,COUNTER,-
,Neora,"Water, Ice, and Vapour",Speak in the Language of Water,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute",3,"Seek, Punishing, Rending, Torrent 1",2/4,Interfuse,"Interfusion is a novel and fledgeling Impetus. This Impetus allows the sorcerer to imbue certain nouns with his Seele, creating a direct link to the object that can lower the Trial of manipulating the object further.  Additional Trials are added to this Impetus for the size of the Interfused Noun (+Trial 1 if the noun is of your size or up to 5m larger, +2 Trial if the noun is between 5-10 cubic meters, and so on).",Interfuse an object of a size in squares equal to the number of successes rolled. Subsequent spells targeting this object may consume the object in order to grant successes at a 1:1 ratio to the subsequent spell.,,,,,,,,,Belog,-,-,-,-,-,-,COUNTER,-,-,COUNTER
,Strela,"Lighting, Magnetism, and Speed",Speak in the Language of Lightning,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute",4,"Lethal 15+, Devastating 5, Brutal",3/5,Countermagick,"The Countermagick impetus allows the sorcerer to undo or dispel magical effects, wards, and other ongoing magical processes.",Mitigate the successes of another casting; Having a language that Counters another automatically grants 1 critical success.,,,,,,,,,Telos,-,-,-,-,-,-,COUNTER,-,-,COUNTER
,Aard,"Trees, Plants, and Growth",Speak in the Language of Nature,"Control, Create, Destroy, Enhance, Influence, Tax, Transmute, Interfuse, Sympathize",4,"Torrent 1, Stun, Relentless, Punishing",3/5,Sympathize,"Sympathy is an exacting and efficient Impetus used to link nouns together through some qualitative or quantitative connection. Effecting one noun will affect the other by means of this connection. For example, the caster could decide to sympathetically link a person to an effigy representing them to perform Voodoo in the traditional sense. Additional Trials are added if the two nouns are too dissimilar; possessing remnants of the target noun (shavings, samples, blood, hair, etc.) or any other means by which to strengthen the sympathetic link may decrease the Trials.",Creates a 1:1 damage and effect transfer link between two targets for a duration of rounds equal to the successes.,,,,,,,,,Pamet,-,-,-,-,-,-,-,COUNTER,COUNTER,-
